Target lang,Transfer lang,Accuracy,Rank,Accuracy level,Word overlap,Transfer lang dataset size,Target lang dataset size,Transfer over target size ratio,Transfer lang TTR,Target lang TTR,Transfer target TTR distance,GENETIC,SYNTACTIC,FEATURAL,PHONOLOGICAL,INVENTORY,GEOGRAPHIC
sl,la,41.17,0.86538529,-0.799010895,0.074298522,0.338757432,0.429596646,-0.068492439,0.049408809,0.279856384,0.383638589,0.053878439,0.164049144,0.7495,0.0002,0.669,0.0259
sl,fr,54.02,0.301296653,0.300840858,0.147766894,0.251315147,0.429596646,-0.128861333,-0.597421851,0.279856384,0.646160602,0.400393857,0.123808781,0.5521,0.5456,0.4688,0.0492
sl,de,55.1,0.033484377,0.519686992,0.132741159,0.130052999,0.429596646,-0.212578972,0.416645311,0.279856384,0.153245971,0.136699067,0.039594201,0.5203,0.5456,0.4255,0.0159
sl,hi,30.78,1.006746054,-1.631016627,0.07807571,0.161022962,0.429596646,-0.191197756,-2.08567128,0.279856384,0.944507419,0.19748707,0.106988829,0.5453,0.5922,0.4816,0.2962
sl,ca,53.03,0.378754452,0.218026607,0.1412087,0.149517012,0.429596646,-0.199141299,-1.636763242,0.279856384,0.881031642,0.309924375,-0.123421851,0.4496,0.6162,0.3295,0.0514
sl,it,55.92,-0.311785697,0.704718761,0.176365599,0.044203098,0.429596646,-0.271848507,-0.916818639,0.279856384,0.735858466,0.28033711,-0.236503566,0.4421,0.0002,0.4312,0.0197
sl,en,55.85,-0.185334185,0.646154437,0.148431014,0.123949994,0.429596646,-0.216792399,-1.059034404,0.279856384,0.769986011,0.28033711,0.076951648,0.5346,0.5687,0.4546,0.0678
sl,fi,47.84,0.760956035,-0.453697316,0.128507388,0.034221368,0.429596646,-0.278739749,1.471043869,0.279856384,-2.149572231,0.590200479,-0.088460856,0.5172,0.5687,0.4533,0.1079
sl,bg,62.25,-1.285047375,0.961078277,0.083388677,-0.363406583,0.429596646,-0.553256357,0.573460789,0.279856384,0.024331065,-1.901491133,-0.236503566,0.4758,0.6162,0.4225,0.0435
sl,sk,63.35,-1.630317449,1.006379146,0.235555371,-0.427488318,0.429596646,-0.597497464,1.152921784,0.279856384,-0.803971714,-1.448332833,0.2712356,0.6771,0.0002,0.669,0.0197
sl,ro,55.03,0.12954998,0.451078002,0.126432011,-0.534291076,0.429596646,-0.671232549,0.163514759,0.279856384,0.32062022,0.243839465,-0.236503566,0.4592,0.641,0.3931,0.0362
sl,hr,65.51,-2.116948288,1.05003234,0.374647186,-0.686027734,0.429596646,-0.775989351,0.734470446,0.279856384,-0.136338438,-2.294400601,0.50821651,0.4931,0.0002,0.3141,0.0099
sl,ar,33.07,0.961450893,-1.285703049,0.046280923,-0.835972599,0.429596646,-0.879509125,-0.898723408,0.279856384,0.731282128,0.590200479,0.2712356,0.6771,0.0002,0.669,1
sl,lv,52.31,0.585005577,-0.071447576,0.126348996,-0.934988279,0.429596646,-0.947868124,1.20895374,0.279856384,-0.945541644,-1.448332833,0.156881789,0.7842,0.5922,0.669,0.0672
